1723789710.447332 client started (81265): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1723789710.447480 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:14:38 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T6020
1723789710.447816 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1723789710.447843 flags are 0x10010000
1723789710.447853 socket is /private/tmp/tmux-501/default
1723789710.447870 trying connect
1723789710.447932 add peer 0x120008000: 6 (0x0)
1723789710.451027 sending message 100 to peer 0x120008000 (4 bytes)
1723789710.451036 sending message 111 to peer 0x120008000 (8 bytes)
1723789710.451042 sending message 101 to peer 0x120008000 (14 bytes)
1723789710.451050 sending message 109 to peer 0x120008000 (4 bytes)
1723789710.451054 sending message 102 to peer 0x120008000 (13 bytes)
1723789710.451059 sending message 108 to peer 0x120008000 (35 bytes)
1723789710.451063 sending message 112 to peer 0x120008000 (70 bytes)
1723789710.451068 sending message 112 to peer 0x120008000 (5 bytes)
1723789710.451072 sending message 112 to peer 0x120008000 (5 bytes)
1723789710.451076 sending message 112 to peer 0x120008000 (6 bytes)
1723789710.451080 sending message 112 to peer 0x120008000 (6 bytes)
1723789710.451084 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451088 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451092 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451096 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451100 sending message 112 to peer 0x120008000 (18 bytes)
1723789710.451104 sending message 112 to peer 0x120008000 (11 bytes)
1723789710.451108 sending message 112 to peer 0x120008000 (10 bytes)
1723789710.451111 sending message 112 to peer 0x120008000 (15 bytes)
1723789710.451115 sending message 112 to peer 0x120008000 (21 bytes)
1723789710.451119 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451123 sending message 112 to peer 0x120008000 (7 bytes)
1723789710.451127 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451131 sending message 112 to peer 0x120008000 (7 bytes)
1723789710.451135 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451139 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451143 sending message 112 to peer 0x120008000 (21 bytes)
1723789710.451147 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451150 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451154 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451158 sending message 112 to peer 0x120008000 (13 bytes)
1723789710.451162 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451166 sending message 112 to peer 0x120008000 (9 bytes)
1723789710.451170 sending message 112 to peer 0x120008000 (12 bytes)
1723789710.451174 sending message 112 to peer 0x120008000 (8 bytes)
1723789710.451177 sending message 112 to peer 0x120008000 (8 bytes)
